# ----------------------------------------,
# highcharts.com,
# Audience Overview,
# 20171217-20180117,
# ----------------------------------------,
Day Index,Users
12/18/17,"40,585"
12/19/17,"43,039"
12/20/17,"44,926"
12/21/17,"41,256"
12/22/17,"36,844"
12/23/17,"28,955"
12/24/17,"26,113"
12/25/17,"28,433"
12/26/17,"32,687"
12/27/17,"35,689"
12/28/17,"33,656"
12/29/17,"34,559"
12/30/17,"29,197"
12/31/17,"26,495"
1/1/18,"28,291"
1/2/18,"35,472"
1/3/18,"38,363"
1/4/18,"41,645"
1/5/18,"40,268"
1/6/18,"32,846"
1/7/18,"33,560"
1/8/18,"39,327"
1/9/18,"42,947"
1/10/18,"44,179"
1/11/18,"41,938"
1/12/18,"40,964"
1/13/18,"32,176"
1/14/18,"28,915"
1/15/18,"37,077"
1/16/18,"41,477"
1/17/18,"41,840"
